./verilator_tb/Vtop +EXEC=../memfile.dat
TOP.top.L1_cache found +EXEC=../memfile.dat
==> Console [0x00010004] print - writes to the addr treated as a console print msg <==

pc: 00000000 instn: 00010117
pc: 00000004 instn: ffc10113
pc: 00000008 instn: 018000ef
pc: 00000020 instn: ff010113
pc: 00000024 instn: 00112623
pc: 00000028 instn: 00812423
pc: 0000002c instn: 01010413
pc: 00000030 instn: 660010ef
pc: 00001690 instn: 000027b7
pc: 00001694 instn: b247a503
pc: 00001698 instn: fe010113
pc: 0000169c instn: 00c10613
pc: 000016a0 instn: 00810593
pc: 000016a4 instn: 00112e23
pc: 000016a8 instn: eb9fe0ef
pc: 00000560 instn: fe010113
pc: 00000564 instn: 00112e23
pc: 00000568 instn: 00812c23
pc: 0000056c instn: 00912a23
pc: 00000570 instn: 01212823
pc: 00000574 instn: 01312623
pc: 00000578 instn: 00058913
pc: 0000057c instn: 00060993
pc: 00000580 instn: 00050493
pc: 00000584 instn: 4ed000ef
pc: 00001270 instn: 00800637
pc: 00001274 instn: 01755713
pc: 00001278 instn: fff60793
pc: 0000127c instn: 0ff77713
pc: 00001280 instn: 07e00593
pc: 00001284 instn: 00a7f7b3
pc: 00001288 instn: 01f55693
pc: 0000128c instn: 04e5d663
pc: 00001290 instn: 09d00593
pc: 00001294 instn: 00e5da63
pc: 000012a8 instn: 00c7e533
pc: 000012ac instn: 09500793
pc: 000012b0 instn: 00e7dc63
pc: 000012c8 instn: 09600793
pc: 000012cc instn: 40e78733
pc: 000012d0 instn: 00e55533
pc: 000012d4 instn: fe9ff06f
pc: 000012bc instn: 02068063
pc: 000012c0 instn: 40a00533
pc: 000012c4 instn: 00008067
pc: 00000588 instn: 559000ef
pc: 000012e0 instn: ff010113
pc: 000012e4 instn: 00112623
pc: 000012e8 instn: 00812423
pc: 000012ec instn: 00912223
pc: 000012f0 instn: 0e050663
pc: 000012f4 instn: 41f55793
pc: 000012f8 instn: 00a7c433
pc: 000012fc instn: 40f40433
pc: 00001300 instn: 01f55493
pc: 00001304 instn: 00040513
pc: 00001308 instn: 33c000ef
pc: 00001644 instn: 000107b7
pc: 00001648 instn: 02f57a63
pc: 0000167c instn: 01000737
pc: 00001680 instn: 01000793
pc: 00001684 instn: fce56ae3
pc: 00001688 instn: 01800793
pc: 0000168c instn: fcdff06f
pc: 00001658 instn: 00001737
pc: 0000165c instn: 02000693
pc: 00001660 instn: 40f686b3
pc: 00001664 instn: 00f55533
pc: 00001668 instn: 79870793
pc: 0000166c instn: 00a78533
pc: 00001670 instn: 00054503
pc: 00001674 instn: 40a68533
pc: 00001678 instn: 00008067
pc: 0000130c instn: 09e00793
pc: 00001310 instn: 00050713
pc: 00001314 instn: 40a78533
pc: 00001318 instn: 09600793
pc: 0000131c instn: 04a7c063
pc: 0000135c instn: 09900793
pc: 00001360 instn: 02a7d063
pc: 00001364 instn: 00500793
pc: 00001368 instn: 40e787b3
pc: 0000136c instn: 01b70693
pc: 00001370 instn: 00f457b3
pc: 00001374 instn: 00d41433
pc: 00001378 instn: 00803433
pc: 0000137c instn: 0087e433
pc: 00001380 instn: 00500793
pc: 00001384 instn: 00e7d663
pc: 00001390 instn: fc0006b7
pc: 00001394 instn: fff68693
pc: 00001398 instn: 00747793
pc: 0000139c instn: 00d476b3
pc: 000013a0 instn: 00078a63
pc: 000013a4 instn: 00f47413
pc: 000013a8 instn: 00400793
pc: 000013ac instn: 00f40463
pc: 000013b0 instn: 00468693
pc: 000013b4 instn: 040007b7
pc: 000013b8 instn: 00f6f7b3
pc: 000013bc instn: 00078c63
pc: 000013d4 instn: 0036d413
pc: 000013d8 instn: f59ff06f
pc: 00001330 instn: 00941413
pc: 00001334 instn: 01751513
pc: 00001338 instn: 00945413
pc: 0000133c instn: 00856433
pc: 00001340 instn: 01f49513
pc: 00001344 instn: 00c12083
pc: 00001348 instn: 00a46533
pc: 0000134c instn: 00812403
pc: 00001350 instn: 00412483
pc: 00001354 instn: 01010113
pc: 00001358 instn: 00008067
pc: 0000058c instn: 00050593
pc: 00000590 instn: 00048513
pc: 00000594 instn: 071000ef
pc: 00000e04 instn: 00800737
pc: 00000e08 instn: ff010113
pc: 00000e0c instn: fff70713
pc: 00000e10 instn: 0175d613
pc: 00000e14 instn: 00a777b3
pc: 00000e18 instn: 00812423
pc: 00000e1c instn: 00b77733
pc: 00000e20 instn: 00912223
pc: 00000e24 instn: 01755413
pc: 00000e28 instn: 00112623
pc: 00000e2c instn: 01212023
pc: 00000e30 instn: 0ff67613
pc: 00000e34 instn: 0ff00693
pc: 00000e38 instn: 0ff47413
pc: 00000e3c instn: 01f55493
pc: 00000e40 instn: 00379793
pc: 00000e44 instn: 01f5d593
pc: 00000e48 instn: 00371713
pc: 00000e4c instn: 00d61463
pc: 00000e54 instn: 0015c593
pc: 00000e58 instn: 40c406b3
pc: 00000e5c instn: 18959a63
pc: 00000ff0 instn: 08d05063
pc: 00001070 instn: 08068063
pc: 00001074 instn: 408606b3
pc: 00001078 instn: 02041863
pc: 000010a8 instn: 0ff00513
pc: 000010ac instn: fea608e3
pc: 000010b0 instn: 04000537
pc: 000010b4 instn: 00a7e7b3
pc: 000010b8 instn: 00068513
pc: 000010bc instn: 01b00813
pc: 000010c0 instn: 00100693
pc: 000010c4 instn: 00a84e63
pc: 000010c8 instn: 02000693
pc: 000010cc instn: 40a686b3
pc: 000010d0 instn: 00a7d833
pc: 000010d4 instn: 00d797b3
pc: 000010d8 instn: 00f037b3
pc: 000010dc instn: 00f866b3
pc: 000010e0 instn: 40d707b3
pc: 000010e4 instn: 00060413
pc: 000010e8 instn: 00058493
pc: 000010ec instn: f55ff06f
pc: 00001040 instn: 04000937
pc: 00001044 instn: 0127f733
pc: 00001048 instn: f4070ee3
pc: 00000fa4 instn: 0077f713
pc: 00000fa8 instn: 24070063
pc: 00000fac instn: 00f7f713
pc: 00000fb0 instn: 00400693
pc: 00000fb4 instn: 22d70a63
pc: 00000fb8 instn: 00478793
pc: 00000fbc instn: 22c0006f
