F,D,E,M,W,
,F,D,E,M,W,
,,F,D,E,M,W,
,,,F,D,E,M,W,
,,,,F,D,E,M,W,
,,,,,F,D,E,M,W,
,,,,,,F,D,D,E,M,W,
,,,,,,,F,F,D,E,M,W,
,,,,,,,,,F,D,D,E,M,W,
,,,,,,,,,,,,F,D,E,M,W,
,,,,,,,,,,,,,F,D,E,M,W,
,,,,,,,,,,,,,,F,D,E,M,W,
,,,,,,,,,,,,,,,F,D,E,M,W,
,,,,,,,,,,,,,,,,F,D,E,M,W,
,,,,,,,,,,,,,,,,,F,D,E,M,W,
,,,,,,,,,,,,,,,,,,,F,D,E,M,W,
