PC,Instruction,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,
0x0,addi 2 0 5 ,F,D,E,M,W,
0x4,addi 3 0 10 ,,F,D,E,M,W,
0x8,add 4 3 2 ,,,F,D,E,M,W,
0xc,sub 5 3 2 ,,,,F,D,E,M,W,
0x10,sub 6 2 3 ,,,,,F,D,E,M,W,
0x14,AND 7 3 2 ,,,,,,F,D,E,M,W,
0x18,nop 0 0 0 ,,,,,,,F,D,E,M,W,
0x1c,OR 8 3 2 ,,,,,,,,F,D,E,M,W,
0x20,slt 9 2 3 ,,,,,,,,,F,D,E,M,W,
0x24,slt 10 3 2 ,,,,,,,,,,F,D,E,M,W,
0x28,sw 2 0 80 ,,,,,,,,,,,F,D,E,M,W,
0x2c,sw 3 0 84 ,,,,,,,,,,,,F,D,E,M,W,
0x30,sw 4 0 88 ,,,,,,,,,,,,,F,D,E,M,W,
0x34,sw 5 0 92 ,,,,,,,,,,,,,,F,D,E,M,W,
0x38,sw 6 0 96 ,,,,,,,,,,,,,,,F,D,E,M,W,
0x3c,sw 7 0 100 ,,,,,,,,,,,,,,,,F,D,E,M,W,
0x40,sw 8 0 104 ,,,,,,,,,,,,,,,,,F,D,E,M,W,
0x44,sw 9 0 108 ,,,,,,,,,,,,,,,,,,F,D,E,M,W,
0x48,sw 10 0 112 ,,,,,,,,,,,,,,,,,,,F,D,E,M,W,
0x4c,lw 11 0 80 ,,,,,,,,,,,,,,,,,,,,F,D,E,M,W,
0x50,lw 12 0 108 ,,,,,,,,,,,,,,,,,,,,,F,D,E,M,W,
0x54,add 13 11 12 ,,,,,,,,,,,,,,,,,,,,,,F,D,D,E,M,W,
0x58,sw 13 0 116 ,,,,,,,,,,,,,,,,,,,,,,,F,F,D,E,M,W,
